galaxy,points,aM_HRC0_si,aM_HRC0_over_match,chi2_HRC0,chi2red_HRC0,success_HRC0,aM_HRC0_freeML_si,aM_HRC0_freeML_over_match,ups_disk_HRC0_freeML,chi2_HRC0_freeML,chi2red_HRC0_freeML,success_HRC0_freeML,aM_HRC3_si,aM_HRC3_over_match,chi2_HRC3,chi2red_HRC3,success_HRC3,aM_HRC3_freeML_si,aM_HRC3_freeML_over_match,ups_disk_HRC3_freeML,chi2_HRC3_freeML,chi2red_HRC3_freeML,success_HRC3_freeML,Vflat_obs_km_s,Mbar_eff_Msun
NGC2366,26,6.328178458559459e-11,0.5846425079474212,51.3947596199917,2.055790384799668,True,8.150682940923808e-11,0.7530185419503345,0.17743833459996544,34.605865713726885,1.441911071405287,True,5.100113256812526e-11,0.47118503765418895,49.93590910178027,1.9974363640712107,True,7.083181777962548e-11,0.6543951290302552,0.19920290617760034,30.463321847601822,1.2693050769834093,True,50.9390166922102,1014516699.8650875
NGC2403,73,2.0822247948565342e-10,1.9237085903110689,235.4703410874112,3.2704214039918225,True,1.768523024599488e-10,1.6338883981157069,0.5987524630171288,188.75439154134096,2.658512556920295,True,1.5395675021738576e-10,1.4223628671656776,447.02350261221966,6.2086597585030505,True,2.1662892542603301e-10,2.0013733665131412,0.3745185333100557,203.8752289411007,2.8714820977619815,True,133.28260901728726,12642691418.292936
NGC2683,11,1.7869856228758792e-10,1.6509454704315722,56.83473494188,5.683473494188,True,7.39324707041813e-11,0.6830411843518284,0.8208215214778981,17.728825354194004,1.9698694837993338,True,1.1572405499788112e-10,1.069141810504629,15.826515616718446,1.5826515616718446,True,6.023165947331325e-11,0.5564632647911923,0.7133601449498377,10.787921572246864,1.1986579524718737,True,155.82474226804123,44200118081.073494
NGC2841,50,3.660321308993678e-10,3.3816673218008377,1130.2303965917788,23.06592646105671,True,1.472512712598723e-10,1.3604128437840404,1.4609043947042843,81.8343285886966,1.7048818455978456,True,3.1702030447271483e-10,2.9288609208940444,297.0903481505572,6.063068329603208,True,1.888555952359575e-10,1.7447834248307146,0.8974945770306743,195.2549087052407,4.067810598025848,True,277.9628102623055,148921545503.41602
NGC2903,34,1.9875058221330674e-10,1.8362004106257304,352.31001288505604,10.67606099651685,True,2.0947105068294924e-10,1.9352437864329575,0.48147915621208165,347.9661897051101,10.87394342828469,True,1.1864768513561445e-10,1.0961524023712843,336.8309765987453,10.20699929087107,True,2.675194242203631e-10,2.471536290025024,0.3151315412748899,211.03163932189042,6.594738728809076,True,182.7423935091278,46550415624.44194
NGC2915,30,3.991335740753223e-10,3.6874821922536927,42.523561273214845,1.466329699076374,True,3.6548983464365766e-10,3.3766572000878505,0.602317165711489,42.183349078797995,1.5065481813856427,True,3.964571797083547e-10,3.662755741740215,47.50235270446274,1.638012162222853,True,4.3375513453099283e-10,4.007340996274593,0.40559178870037077,46.81143725242313,1.6718370447293975,True,83.93916450748765,1084110747.721912
NGC2955,24,1.482529977776224e-10,1.3696675117339099,105.48109606703983,4.586134611610428,True,1.2639983092151877e-10,1.1677722845210181,0.548399104773054,103.12915686916213,4.687688948598279,True,7.92824002908491e-11,0.7324676705259174,97.94881062744287,4.258643940323603,True,2.099224139924034e-10,1.939413804376712,0.17355583862970736,96.46756544388161,4.3848893383582555,True,253.09127039798327,216166239728.7321
NGC2976,27,1.332773116993433e-10,1.2313113840682015,41.814269047044604,1.6082411171940232,True,1.0824013602392006e-12,0.010000000000000009,0.9309823802346722,20.139853822045232,0.8055941528818092,True,6.926477730989036e-11,0.6399176853822832,36.518285638697755,1.4045494476422213,True,1.0824013653625537e-12,0.01000000004733322,0.9307948372752635,20.156986549969,0.8062794619987601,True,81.92868808082659,1579902884.2263572
NGC2998,13,1.3224538873210575e-10,1.2217777396628628,106.06733791033817,8.838944825861514,True,6.712373494211837e-11,0.620137200560102,0.9213776534638475,28.044024595939455,2.549456781449041,True,9.605724531358407e-11,0.8874457187706823,47.6634192064251,3.9719516005354247,True,3.622719444417185e-11,0.3346928022722182,0.8831606626306311,23.027582325928783,2.0934165750844347,True,211.80769230769224,120926477056.55586
NGC3109,25,1.8148088810447146e-10,1.6766505916471321,62.65047950998497,2.6104366462493735,True,2.3575022937895665e-10,2.1780296850962775,0.1,34.94780902279041,1.5194699575126265,True,1.7753032622903287e-10,1.6401524679329715,63.01543992575492,2.625643330239788,True,2.3266309376315383e-10,2.1495085123667774,0.1,34.88937969890976,1.5169295521265111,True,64.05627502273417,616208354.5373417
