galaxy,n_points,gdagger_si,ups_disk,chi2,chi2_red,sigma_lo_si,sigma_hi_si,ratio_cH0,ratio_cH0_2pi,ratio_a0
NGC5055,28,7.845030623163616e-11,0.39146771770815714,41.34898981997877,1.5903457623068757,6.761613647767805e-13,6.820398503839323e-13,0.11535234971506865,0.7247801888783606,0.6537525519303014
NGC4010,12,3.3049288000692146e-10,0.12595995063984702,16.181974274942355,1.6181974274942355,1.9431339697677767e-11,2.064517333995691e-11,0.48595259985772943,3.053330235411806,2.754107333391012
NGC4013,36,1.4192568484895732e-10,0.31129033244227877,55.70239477818525,1.6383057287701543,1.2232541767395984e-12,1.2338890376566424e-12,0.20868575304101908,1.3112112573250387,1.1827140404079777
UGC05721,23,2.5241204909883893e-10,0.8155414774147826,34.4960368239566,1.6426684201884096,1.4840574688700502e-11,1.576763319872462e-11,0.3711435220402593,2.33196352453824,2.103433742490324
UGC09037,22,1.2367129087842593e-10,0.15819547600967565,32.87165377235408,1.643582688617704,3.1702777042323108e-12,3.2536849757330957e-12,0.181844720312504,1.1425640748557064,1.0305940906535493
F583-1,25,5.4596689798463667e-11,1.7378528889707183,38.173366180902015,1.6597115730826963,4.09199793835278e-12,4.4235403458158355e-12,0.08027829026342034,0.5044033738686208,0.4549724149871972
NGC2915,30,3.873068205559161e-10,0.44118418153477096,46.55930909273683,1.662832467597744,2.277171719188594e-11,2.4194216970595636e-11,0.5694911079108174,3.5782181617946716,3.2275568379659676
NGC7814,18,2.78219493644136e-10,0.15975807119729143,27.00023050446053,1.687514406528783,2.397967344760435e-12,2.418815055465327e-12,0.4090904659266409,2.5703912048175215,2.3184957803678
UGC11914,65,1.0645265063935378e-09,0.1,107.32422452304978,1.7035591194134885,9.175129199353462e-12,9.254896940831793e-12,1.5652664692460896,9.834859281387898,8.87105421994615
UGC07151,11,3.367889468153384e-11,0.990841143623039,16.00357477444053,1.7781749749378366,2.52421837498865e-12,2.728735935753367e-12,0.049521025779687804,0.3111497815753959,0.28065745567944866
UGC04305,22,3.422853640820288e-13,0.733502428030504,36.23217342638784,1.811608671319392,3.3146135047963683e-13,1.4583133729323666e-13,0.0005032921210448705,0.0031622776601683803,0.002852378034016907
NGC0289,28,4.9994994547325973e-11,0.7157553993830101,48.56675490804593,1.8679521118479203,1.281607197683537e-12,1.3153251774528703e-12,0.07351201508376595,0.4618896130754824,0.41662495456104975
NGC3198,43,6.854443935551505e-11,0.6477076212435557,81.36148378215131,1.9844264337110076,5.907829285666737e-13,5.959191417896456e-13,0.10078688687606649,0.633262686776072,0.5712036612959588
UGC06818,8,1.926740237010552e-10,0.1,12.02274539839257,2.003790899732095,2.346162200978359e-11,2.6714620618799116e-11,0.2833054761743027,1.7800608053418947,1.60561686417546
NGC2841,50,1.411320202241246e-10,1.0420484165334036,97.32070219998094,2.02751462916627,1.2164135997975937e-12,1.2269889893588308e-12,0.20751875849685678,1.3038788143515994,1.1761001685343717
NGC6195,23,8.968822085393468e-11,0.23529942291224856,42.75526287158744,2.035964898647021,2.2991315517601424e-12,2.3596197194993893e-12,0.13187643891048728,0.82860410332554,0.7474018404494557
