galaxy,n_points,gdagger_si,ups_disk,chi2,chi2_red,sigma_lo_si,sigma_hi_si,ratio_cH0,ratio_cH0_2pi,ratio_a0
UGC08286,17,8.04260961953215e-11,1.4724677821419232,30.586662895708884,2.0391108597139254,2.061699670112775e-12,2.115941209870899e-12,0.11825752658183077,0.7430339534823585,0.6702174682943458
UGC00191,9,4.578608662107238e-11,1.1440419892559563,14.523344115322777,2.074763445046111,2.691994461553114e-12,2.8601575163450057e-12,0.0673232894770845,0.4230047032734154,0.38155072184226985
ESO116-G012,15,2.629842896754251e-10,0.3268500545556653,27.061104869740653,2.081623451518512,6.741526058307014e-12,6.918889793201311e-12,0.38668881243927133,2.4296374647691525,2.1915357472952093
UGC08837,8,4.596474346700569e-11,0.1,12.9770758338608,2.162845972310133,5.5970567089664336e-12,6.373099289537324e-12,0.06758598427027294,0.4246552633382496,0.38303952889171405
NGC6503,31,1.3536854938936157e-10,0.42555470985613375,64.28530594580644,2.216734687786429,1.1667383787222637e-12,1.1768818964148207e-12,0.19904422302033262,1.2506317375603306,1.1280712449113464
NGC6946,58,9.380628885939172e-11,0.4222427872742252,125.42470527012146,2.2397268798235976,8.08514221888734e-13,8.155433712372074e-13,0.13793159463305799,0.8666497687942807,0.7817190738282643
UGCA442,8,1.1719270860577582e-10,0.1,13.55204937605913,2.2586748960098553,6.890349138420484e-12,7.320774303200211e-12,0.17231869391604854,1.0827102857656925,0.9766059050481318
UGC00128,22,3.660976490863346e-11,1.9484213540059052,45.959456338795135,2.297972816939757,3.1553871226057943e-13,3.182819772194351e-13,0.0538305407280124,0.3382272625797798,0.30508137423861215
UGC02885,19,1.1983680578422332e-10,0.538194784609983,40.07076864497968,2.357104037939981,5.0760943140049765e-12,5.300620052426623e-12,0.17620654135807556,1.1071383516899924,0.998640048201861
UGC02259,8,3.299148464504727e-11,2.4701057770244925,14.399968383545339,2.39999473059089,1.9397354195806165e-12,2.0609064837501535e-12,0.048510266654129795,0.3047989946885921,0.27492903870872726
UGC03546,30,1.5774443713738168e-10,0.3053126291986029,69.67983612267511,2.4885655758098255,1.3595956347936414e-12,1.3714158359867904e-12,0.23194544868379433,1.4573562352371932,1.3145369761448473
NGC1090,24,5.568749283478724e-11,0.5570538336532788,55.52601379681441,2.5239097180370185,4.799692055374342e-13,4.841420142982058e-13,0.08188219341383933,0.5144809945774724,0.4640624402898937
NGC2998,13,5.336498124130108e-11,0.7232952571712148,29.085456394884613,2.6441323995349646,1.367995830029678e-12,1.4039866201913725e-12,0.0784672013963693,0.4930239669091691,0.4447081770108423
NGC3917,17,4.3841627618014045e-11,0.899949446785045,39.99020388171535,2.6660135921143566,1.8570608187706896e-12,1.939202309026095e-12,0.06446418126321563,0.40504039655239804,0.36534689681678373
NGC2403,73,1.709191856202603e-10,0.4319337733495188,192.63002265080829,2.7130989105747645,1.4731484855429516e-12,1.4859559049266307e-12,0.2513174341788902,1.5790740098708755,1.4243265468355024
UGC04278,25,1.56460822578791e-10,0.460584263549982,62.6048396516191,2.721949550070396,9.199119184785292e-12,9.773768206394319e-12,0.23005803788102813,1.4454972834126407,1.3038401881565918
F568-3,18,1.1533680033535406e-10,0.434343398409384,43.63343778201432,2.727089861375895,1.0475674635418714e-11,1.152219934450091e-11,0.1695897895926331,1.0655640742161097,0.9611400027946172
CamB,9,6.311361392126622e-12,0.1,19.310541640756554,2.758648805822365,1.7296755776081346e-12,2.0867803289803643e-12,0.009280146903864913,0.058308882674832155,0.05259467826772185
NGC3726,12,6.776006541916209e-11,0.39917498221785225,27.793154429621435,2.7793154429621434,3.983955264237558e-12,4.232824307973362e-12,0.0996335532441184,0.6260160778455397,0.5646672118263507
