N,H,q,p,F,V,rho_m,rho_r,constraint_signed,constraint_abs,constraint_rel
-58.96,1.6293159388305037e+49,-2.9472787789578505e-19,1.740391748866534e-19,1.0,2.0997,5.919029009599769e+76,7.964011285581377e+98,0.0,0.0,0.0
-58.94,1.5654295470708908e+49,-2.914545751427034e-19,2.047785879160015e-19,1.0,2.0997,5.574331594497352e+76,7.351709000527723e+98,0.0,0.0,0.0
-58.92,1.5040481765627284e+49,-2.880407626573209e-19,1.7626910815429927e-19,1.0,2.0997,5.249707794135728e+76,6.786482752265006e+98,-1.2141680576410807e+83,1.2141680576410807e+83,-1.7890976842692912e-16
-58.9,1.4450736040177693e+49,-2.8587516295324896e-19,3.749815150133707e-20,1.0,2.0997,4.943988612197818e+76,6.264713163086714e+98,0.0,0.0,0.0
-58.88,1.3884114575380701e+49,-2.8566287146659062e-19,-2.2041388915333087e-20,1.0,2.0997,4.656073129412436e+76,5.783059126268964e+98,1.2141680576410807e+83,1.2141680576410807e+83,2.0995255817562786e-16
-58.86,1.3339710656006536e+49,-2.8905381952143043e-19,-1.646209180116175e-19,1.0,2.0997,4.384924539055122e+76,5.338436411579229e+98,0.0,0.0,0.0
-58.84,1.281665311963889e+49,-2.9417756569975654e-19,-2.7006754219269774e-19,1.0,2.0997,4.129566413325482e+76,4.9279979156744793e+98,-1.2141680576410807e+83,1.2141680576410807e+83,-2.46381609411639e-16
-58.82,1.2314104962627645e+49,-2.998754090935247e-19,-2.660484281429055e-19,1.0,2.0997,3.889079187150642e+76,4.5491154309183244e+98,-1.2141680576410807e+83,1.2141680576410807e+83,-2.6690201118857475e-16
-58.8,1.1831262000705783e+49,-3.040376440913466e-19,-1.9965455864039772e-19,1.0,2.0997,3.662596846759022e+76,4.199362815880338e+98,6.070840288205404e+82,6.070840288205404e+82,1.4456574852851182e-16
-58.78,1.1367351582122393e+49,-3.07034509683993e-19,-1.8809470511784096e-19,1.0,2.0997,3.4493038110952406e+76,3.876500459747414e+98,0.0,0.0,0.0
-58.76,1.092163135123458e+49,-3.105863659398652e-19,-1.4337113381905863e-19,1.0,2.0997,3.248431994846473e+76,3.578460941168102e+98,0.0,0.0,0.0
-58.74,1.0493388060581184e+49,-3.107547843486013e-19,3.10014130654713e-20,1.0,2.0997,3.059258042506732e+76,3.3033357896984326e+98,0.0,0.0,0.0
-58.72,1.0081936429533418e+49,-3.089551394433909e-19,1.1002010494066414e-19,1.0,2.0997,2.881100723515208e+76,3.0493632650745914e+98,-6.070840288205404e+82,6.070840288205404e+82,-1.9908550607062234e-16
-58.7,9.686618047700867e+48,-3.0716143741951e-19,8.416064660780412e-20,1.0,2.0997,2.713318479090612e+76,2.814917076061324e+98,0.0,0.0,0.0
-58.68,9.306800321333228e+48,-3.066531529116715e-19,8.337084928440331e-20,1.0,2.0997,2.555307111926215e+76,2.5984959666350486e+98,-6.070840288205404e+82,6.070840288205404e+82,-2.3362900563078057e-16
-58.66,8.941875461036358e+48,-3.036785405636531e-19,1.2057085065443549e-19,1.0,2.0997,2.4064976104277e+76,2.3987141028205253e+98,0.0,0.0,0.0
-58.64,8.591259509179113e+48,-3.01053036197838e-19,9.639631501551628e-20,1.0,2.0997,2.266354099656111e+76,2.2142921986218156e+98,0.0,0.0,0.0
-58.62,8.254391405436211e+48,-2.996263323218272e-19,6.642794462378094e-20,1.0,2.0997,2.134371911599322e+76,2.0440493242241757e+98,0.0,0.0,0.0
-58.6,7.930732088972877e+48,-2.9711632576605373e-19,1.3453351323329834e-19,1.0,2.0997,2.0100757678227094e+76,1.886895344011923e+98,-3.035420144102702e+82,3.035420144102702e+82,-1.608684951041737e-16
-58.58,7.619763635831536e+48,-2.930309241986065e-19,2.3579220533254087e-19,1.0,2.0997,1.89301806795255e+76,1.741823935978219e+98,0.0,0.0,0.0
-58.56,7.320988430143907e+48,-2.8962451951556317e-19,1.880408573203241e-19,1.0,2.0997,1.782777277831885e+76,1.6079061478290286e+98,0.0,0.0,0.0
-58.54,7.033928367838567e+48,-2.8541529648410734e-19,1.728335559430865e-19,1.0,2.0997,1.678956411541938e+76,1.484284448516524e+98,-3.035420144102702e+82,3.035420144102702e+82,-2.045039377146657e-16
-58.52,6.758124091573287e+48,-2.8288456570690507e-19,1.4829924833098116e-19,1.0,2.0997,1.5811816018240735e+76,1.3701672371130982e+98,0.0,0.0,0.0
-58.5,6.493134255664462e+48,-2.7993134218894756e-19,1.2972231250607413e-19,1.0,2.0997,1.4891007537538403e+76,1.2648237738624986e+98,-3.035420144102702e+82,3.035420144102702e+82,-2.3998759406879143e-16
-58.48,6.238534819840557e+48,-2.757469124322955e-19,2.238263593076856e-19,1.0,2.0997,1.4023822768189354e+76,1.1675795009508914e+98,0.0,0.0,0.0
-58.46,5.993918370686896e+48,-2.6800651802098807e-19,3.806512420673445e-19,1.0,2.0997,1.3207138908351988e+76,1.0778117230337356e+98,0.0,0.0,0.0
-58.44,5.7588934696970337e+48,-2.5979687318490645e-19,4.945006482021311e-19,1.0,2.0997,1.2438015014006463e+76,9.949456198595742e+97,0.0,0.0,0.0
-58.42,5.5330840268882336e+48,-2.5170549937086055e-19,3.46907085847814e-19,1.0,2.0997,1.1713681408379652e+76,9.184505654581713e+97,0.0,0.0,0.0
-58.4,5.3161286989765907e+48,-2.449541221048436e-19,3.356213480683385e-19,1.0,2.0997,1.1031529708117123e+76,8.478367303224762e+97,-1.517710072051351e+82,1.517710072051351e+82,-1.7900970997966637e-16
-58.38,5.10768031115133e+48,-2.370111232522342e-19,4.553753009780324e-19,1.0,2.0997,1.0389103430285979e+76,7.826519448276882e+97,1.517710072051351e+82,1.517710072051351e+82,1.939189038092144e-16
-58.36,4.9074053015204186e+48,-2.263740013621747e-19,5.067867873492384e-19,1.0,2.0997,9.784089146381492e+75,7.224788038017213e+97,0.0,0.0,0.0
-58.34,4.714983187340978e+48,-2.1732583239888133e-19,4.47222331615411e-19,1.0,2.0997,9.214308151488918e+75,6.6693199370724264e+97,-7.588550360256754e+81,7.588550360256754e+81,-1.1378297085546377e-16
-58.32,4.530106052177943e+48,-2.1032513041229276e-19,3.248699302728421e-19,1.0,2.0997,8.677708618588481e+75,6.156558253193769e+97,0.0,0.0,0.0
-58.3,4.352478053172564e+48,-2.0451463798235832e-19,2.9775031502984684e-19,1.0,2.0997,8.172358209764745e+75,5.68321956100465e+97,7.588550360256754e+81,7.588550360256754e+81,1.3352555323263439e-16
-58.28,4.181814947630496e+48,-2.0004330032375557e-19,2.0532238843777777e-19,1.0,2.0997,7.696437117702703e+75,5.246272876867755e+97,-1.517710072051351e+82,1.517710072051351e+82,-2.892930100421096e-16
-58.26,4.017843638172681e+48,-1.9694343198818893e-19,8.228408709961812e-20,1.0,2.0997,7.24823151241377e+75,4.842920250241407e+97,-7.588550360256754e+81,7.588550360256754e+81,-1.566936882736916e-16
-58.24,3.860301735721691e+48,-1.9486099169683278e-19,1.3256140794449483e-19,1.0,2.0997,6.826127369598991e+75,4.4705788472447706e+97,-7.588550360256754e+81,7.588550360256754e+81,-1.697442460931787e-16
-58.22,3.70893713962276e+48,-1.9137741140999557e-19,1.8627382558480834e-19,1.0,2.0997,6.4286046584170535e+75,4.1268644117019185e+97,7.588550360256754e+81,7.588550360256754e+81,1.8388174660497836e-16
-58.2,3.563507634229402e+48,-1.8790103821157332e-19,2.06934851233231e-19,1.0,2.0997,6.054231867731823e+75,3.8095759977633685e+97,0.0,0.0,0.0
-58.18,3.4237805013062676e+48,-1.83912908676273e-19,1.59409399860097e-19,1.0,2.0997,5.701660851125181e+75,3.5166818763375e+97,-7.588550360256754e+81,7.588550360256754e+81,-2.1578722861790278e-16
-58.16,3.289532147630689e+48,-1.8003281117885243e-19,1.7077235360429482e-19,1.0,2.0997,5.369621972115465e+75,3.2463065250887315e+97,3.794275180128377e+81,3.794275180128377e+81,1.1687975706559834e-16
-58.14,3.160547747195652e+48,-1.7633059983608301e-19,1.9743346171479115e-19,1.0,2.0997,5.056919532093186e+75,2.9967186186910525e+97,3.794275180128377e+81,3.794275180128377e+81,1.2661432930215156e-16
-58.12,3.0366208974422295e+48,-1.7391766879461737e-19,1.2816980198955304e-19,1.0,2.0997,4.7624274645146705e+75,2.7663199424348558e+97,-3.794275180128377e+81,3.794275180128377e+81,-1.3715966551536106e-16
-58.1,2.9175532889717674e+48,-1.7147353600278452e-19,5.585135573541694e-20,1.0,2.0997,4.485085279847591e+75,2.5536351581969934e+97,-3.794275180128377e+81,3.794275180128377e+81,-1.4858329185941126e-16
-58.08,2.803154388208183e+48,-1.7205587826501731e-19,-1.3175088363744494e-20,1.0,2.0997,4.223894246661237e+75,2.3573023572392377e+97,0.0,0.0,0.0
-58.06,2.6932411325039352e+48,-1.7296429731563555e-19,-5.579141360178363e-20,1.0,2.0997,3.977913795116102e+75,2.176064339343324e+97,0.0,0.0,0.0
-58.04,2.5876376372004076e+48,-1.7230026932342645e-19,5.592070336021477e-20,1.0,2.0997,3.7462581298958566e+75,2.0087605624368324e+97,0.0,0.0,0.0
-58.02,2.486174914175242e+48,-1.7088166235539766e-19,1.2645595249288193e-19,1.0,2.0997,3.5280930403875633e+75,1.8543197111622817e+97,0.0,0.0,0.0
