galaxy,n_points,D_Mpc,R_last,Mbar_proxy,Sigma_bar_proxy,gdag_fixed_si,gdag_fixed_kpc,chi2_fixed,chi2_red_fixed,sigma_lo_fixed_si,sigma_hi_fixed_si,gdag_free_si,gdag_free_kpc,ml_disk_best,chi2_free,chi2_red_free,chi2_red_base_cH0,chi2_red_base_cH0_2pi,ml_mond,chi2_red_mond,ml_lcdm,rho_s,r_s_kpc,chi2_red_lcdm,ratio_cH0,ratio_cH0_2pi,ratio_a0,flag_ml_edge,flag_bad_fit,flag_low_points,flag_bulge_sensitive,flag_low_quality
ESO116-G012,15,13.0,9.86,5071290039.549771,16604077.318710212,1.8864194201781432e-10,5820.88211413364,36.12127830690521,2.7785598697619394,4.835781519011123e-12,4.9630067591020156e-12,2.6298429450432066e-10,8114.847418363056,0.3268500471397523,27.061104869740596,2.0816234515185075,147.20838504328026,18.47279140688357,0.7593504920778402,4.620099862540684,0.3811789939923186,4036073.781103455,18.88172879832667,2.5126296716128436,0.2773767536651563,1.7428095431820816,1.572016183481786,False,False,False,False,False
F574-1,14,96.8,12.6,6330067932.135293,12691630.152517311,1.5579022309678837e-10,4807.183988252985,33.521580372129996,2.793465031010833,9.159691266290674e-12,9.73187731135523e-12,3.2320939070326104e-11,997.319971020537,1.6738162986799678,18.37850614996352,1.5315421791636268,63.20090224313337,4.782412061721034,0.6749052933481373,2.120861270582557,1.445689162263299,1134363.8672277073,27.329134816356113,1.6438222337601105,0.22907199678466442,1.439301804483693,1.298251859139903,False,False,False,False,False
NGC4010,12,18.0,10.47,12677064490.30554,36810817.600053735,8.504078902873514e-11,2624.0845621830504,28.04127290704568,2.8041272907045682,4.999975974493807e-12,5.312313628142923e-12,3.304929027285287e-10,10197.945407914282,0.12595993963438418,16.181974274942757,1.6181974274942756,136.34865447698397,3.529180720016677,0.37956418429995087,2.1119471295556336,0.2692299656500559,1039442.2266530276,57.246492147841614,2.3155631785636337,0.12504291324400402,0.7856677952616578,0.7086732419061261,True,False,False,False,True
NGC6503,31,6.26,23.5,10045182478.824251,5789915.602589327,1.1415380256350809e-10,3522.418294122087,82.66338226053271,2.850461457259749,9.838889692525429e-13,9.92442810755871e-13,1.3536855001866675e-10,4177.037000315928,0.4255547078564615,64.28530594580653,2.216734687786432,710.3859547754688,3.116575326816888,0.47686144584256446,2.1556115275990706,0.35727147228962547,20588899.12400587,6.892285849094266,1.122659823564167,0.1678503244554646,1.0546346924239016,0.9512816880292341,False,False,False,False,False
NGC3953,8,18.0,15.68,92361977066.24876,119577985.11552614,1.0968738578935493e-10,3384.599073026073,17.384447814491885,2.8974079690819807,6.44907343776537e-12,6.851933066698743e-12,1.2341259556092959e-11,380.81147939602147,0.789557664586091,3.5209732777510725,0.5868288796251787,189.0360929087535,2.488138074680264,0.5042720295778336,2.817704717323693,0.35155452849288854,56062937.94376309,6.6900413754042996,0.2711241117474914,0.16128296105749232,1.013370731214853,0.9140615482446244,False,False,False,False,False
UGC07151,11,6.87,5.5,2487549239.5795307,26175587.28354167,9.536552066932437e-11,2942.6724917658585,26.955963612074555,2.995107068008284,4.039530042992767e-12,4.21820648390897e-12,3.3678894096074484e-11,1039.2220848167901,0.9908411542435941,16.003574774440505,1.778174974937834,202.76479149924776,3.1631861931622374,0.42990864260493056,3.282803119283197,1.1603800619951279,55928.6798555114,316.22776601683796,2.072387537713536,0.14022426959719572,0.8810550704430893,0.7947126722443698,False,False,False,False,False
UGC06446,17,12.0,10.22,3155645129.0540843,9616930.866012683,1.8080688016821372e-10,5579.117367144532,46.104722646271625,3.0736481764181085,1.0630546437648786e-11,1.129461361482711e-11,6.073071147446132e-11,1873.9539490476584,1.9559050942755973,3.571998501306402,0.2381332334204268,41.00991797072025,6.304491021363996,1.073622137232922,0.8918752025441132,1.3966412186331758,6929115.76019598,8.473848160158427,0.2139598012972592,0.2658561766536946,1.6704236229734342,1.506724001401781,False,False,False,False,False
NGC4013,36,18.0,31.01,48386797648.985916,16016716.011288468,8.316712261654337e-11,2566.2692577501157,104.62866203953931,3.077313589398215,2.1319650881268327e-12,2.188055250417178e-12,1.4192568532435551e-10,4379.369054431621,0.311290331418965,55.70239477818527,1.638305728770155,362.56026064577765,5.982786085607963,0.372272414523268,1.6818526499509021,0.5945003093482043,129782.0360416737,265.6533232906229,0.7508897426539773,0.12228789757089294,0.7683575212633167,0.6930593551378614,False,False,False,True,False
F579-V1,14,89.5,15.16,10970042385.91368,15193576.97006575,1.863459948346928e-10,5750.036586621177,37.09725308575534,3.0914377571462786,2.2691067585903495e-11,2.2195385245505542e-11,1.8822040788667755e-12,58.07874929950818,2.5,12.619645621045022,1.0516371350870852,14.19097073899357,4.025958812227092,0.7890473640977996,2.445886550942816,0.7204274722258988,48482309.32311946,3.919003173993667,0.20183277448709822,0.27400082162465195,1.7215979365871477,1.5528832902891065,True,False,False,False,True
F583-1,25,35.4,16.26,6465712210.439187,7784404.857875493,1.6602072912881765e-10,5122.864419356434,72.1574186234255,3.1372790705837175,1.244318078306031e-11,1.3451353850462756e-11,5.4596687459529796e-11,1684.6777451756197,1.7378529084592511,38.17336618090202,1.6597115730826966,21.636336799439167,4.046583732237544,0.8916368718969636,2.072799075374181,1.4054807471478499,518908.6110028972,47.1165461138949,1.642231743572822,0.2441148049807765,1.533818555920225,1.3835060760734805,False,False,False,False,False
